meeting_date,body,case,title
2025-06-03,Windover Heights Board of Review,WHRB25-017,"Request for a Certificate of Appropriateness for proposed exterior modifications on property located at 212 West Street NW, Docket No. WHBR-1739816-25, in the RS-16, single-unit detached residential zoning district. The application has been filed by Bobby Han of AW4B, the Architect of Record."
2025-06-03,Windover Heights Board of Review,WHRB25-016,"Request for a Certificate of Appropriateness for New Single Family Detached Dwelling located at 348 Windover Avenue NW, per Sec. 18-840.1.A, Docket No WHBR-1516610-25, in the RS-16, single-family detached residential zoning district; filed by David Chau of Geoenv Engineers, on behalf of 348 Windover LLC, property owner."
2025-05-28,Planning Commission Work Session,PCWS25-152,Comprehensive Plan Work Session - Review First Draft of Land Use Chapter
2025-05-28,Planning Commission,PC25-269,"Request for recommendation for a Conditional Use Permit to the Board of Zoning Appeals for Specialized Instruction at 419-B Maple Ave E in the Avenue East (AE) zoning district. Application filed by David Dilly, Future Innovators of Vienna."
2025-05-28,Board of Architectural Review,BAR25-608,127-133 Park St NE - The Grove on Park (formerly Vienna Courts) - Exterior Modification - Revision
2025-05-21,Board of Zoning Appeals,BZA-25137,"Request for a variance from Sec. 18-219.2 Rear Yard Setback, of the Town of Vienna Zoning and Subdivision Ordinance, to allow a second story addition to encroach into the rear yard setback of an existing non-conforming house located at 204 Tapawingo Rd SW, in the RS- 10, Residential Single-Unit,10,000 sq. ft. zone."
2025-05-15,Board of Architectural Review,BAR25-607,**Deferred**127-133 Park St NE - Grove on Park - Exterior Modifications - Revision
2025-05-15,Board of Architectural Review,BAR25-606,820 Follin Ln SE - Navy Federal Credit Union - Mural
2025-05-15,Board of Architectural Review,BAR25-605,354 Maple Ave W - Manita Music - Sign & Exterior Modifications
2025-05-15,Board of Architectural Review,BAR25-604,160 Maple Ave W - Seray - Exterior Modifications - Revision
2025-05-15,Board of Architectural Review,BAR25-603,212 Park St SE - Vienna Family Dentist - Exterior Modifications
2025-05-15,Board of Architectural Review,BAR25-602,400 Courthouse Rd SW - Meadow Ln Park - Exterior Modifications
2025-05-15,Board of Architectural Review,BAR25-601,136 Maple Ave W - Pure Green - Signs
2025-05-15,Board of Architectural Review,BAR25-600,446 Maple Ave E - Spot Specialty Caffe - Signs
2025-05-15,Board of Architectural Review,BAR25-599,110 Pleasant St SW - Nojan Jafari DDS - Signs
2025-05-15,Board of Architectural Review,BAR25-598,203 Maple Ave W - Vienna Crossroads - Exterior Modifications - Revision
2025-05-15,Board of Architectural Review,BAR25-597,282 Cedar Ln SE - Red Bird Café - Sign
2025-05-15,Board of Architectural Review,BAR25-596,216 Maple Ave W - T-Mobile - Sign
2025-05-15,Board of Architectural Review,BAR25-595,303 Mill St NE - Woodfire - Sign
2025-05-15,Board of Architectural Review,BAR25-594,390 B Maple Ave E - Clay & Kiln - Sign
2025-05-14,Planning Commission Work Session,PCWS25-151,Comprehensive Plan Work Session - Review First Draft of Transportation Chapter
2025-05-14,Planning Commission,PC25-268,"Continued discussion on a proposed rezoning at 128 Nutley Street NW from the Residential - Single-Unit, 12,500 sq. ft. Zone (RS-12.5) to the Residential - Multi-Unit Zone (RMU) for a proposed nine-unit townhouse development."
2025-05-14,Planning Commission,25-5105,Acceptance of Meeting MInutes
2025-05-08,Board of Architectural Review Work Session,BARWS25-094,Navy Federal credit Union - 820 Follin Ln SE - Exterior Modifications- Work Session
2025-05-06,Windover Heights Board of Review,WHRB25-015,"Request for a Certificate of Appropriateness for New Single Family Detached Dwelling located at 348 Windover Avenue NW, per Sec. 18-840.1.A, Docket No WHBR-1516610-25, in the RS-16, single-family detached residential zoning district; filed by David Chau of Geoenv Engineers, on behalf of 348 Windover LLC, property owner."
2025-04-30,Board of Architectural Review Work Session,BARWS25-093,Navy Federal Credit Union - 820 Follin Ln SE - Exterior Modifications - Work Session
2025-04-23,Planning Commission Work Session,PCWS25-150,Comprehensive Plan Work Session - Review First Draft of Parks and Recreation Chapter
2025-04-23,Planning Commission,PC25-267,"Public hearing on a proposed rezoning at 128 Nutley Street NW from the Residential - Single-Unit, 12,500 sq. ft. Zone (RS-12.5) to the Residential - Multi-Unit Zone (RMU) for a proposed nine-unit townhouse development."
2025-04-22,Board of Architectural Review Work Session,BARWS25-092,Lighting Design Guide and Sign Design Guide - Board of Architectural Review Work Session
2025-04-21,Planning Commission Work Session,25-5025,7:00 p.m. - 8:00 p.m. Outdoor Lighting Regulations - Joint Work Session of Town Council and Planning Commission: Presentation and Discussion
2025-04-16,Board of Zoning Appeals,BZA-25136,"Request for approval of a variance from Sec. 18-323.2 and 18-323.7, to construct a drive-through ATM facility within the front yard setback with two lanes for Navy Federal Credit Union, on the property located at 1007 Electric Ave SE, in the CP Corporate Park zoning district."
2025-04-16,Board of Zoning Appeals,BZA-25135,"Request for approval of conditional use permit from Section 18-824 for specialized instruction for Manita Music Center, at 354 Maple Ave W, in the AW Avenue West zoning district."
2025-04-16,Board of Zoning Appeals,BZA-25134,"Request for approval of conditional use permit from Section 18-824 for specialized instruction for Colby Fastpitch, at 512 Mill St NE, in the M Mill zoning district."
2025-04-10,Board of Architectural Review,BAR25-593,176 Maple Ave W - Electric Bull - Outdoor Dining
2025-04-10,Board of Architectural Review,BAR25-592,800 Maple Ave E - Westwood Country Club - Exterior Modification
2025-04-10,Board of Architectural Review,BAR25-591,314 Maple Ave W - Dunkin - Sign
2025-04-10,Board of Architectural Review,BAR25-590,340 Maple Ave W - Shilla Bakery - Sign
2025-04-10,Board of Architectural Review,BAR25-589,527 Maple Ave E - VHC Health - Sign
2025-04-10,Board of Architectural Review,BAR25-587,513 Maple Ave W - Trippy Smoke Shop - Sign
2025-04-09,Planning Commission Work Session,PCWS25-149,Comprehensive Plan Work Session - Review First Drafts of Chapters on 1) Community Profile and 2) Economic Development
2025-04-09,Planning Commission,PC25-265,Request for recommendation to the Board of Zoning Appeals in favor of a conditional use permit to allow specialized instruction for Manita Music Center.
2025-04-09,Planning Commission,PC25-264,Request for recommendation to the Board of Zoning Appeals in favor of a conditional use permit to allow specialized instruction for Colby Fastpitch.
2025-04-09,Planning Commission,25-5030,Acceptance of Meeting Minutes
2025-04-03,Board of Architectural Review,BAR25-586,Outdoor Dining Guidelines - Intent to Adopt -Board of Architectural Review - Special Meeting.
2025-04-01,Windover Heights Board of Review,WHRB25-014,"Request for a revision of a Certificate of Appropriateness for New Single Family Detached Dwelling, and Accessory Structures, located at 288 Windover Avenue NW per Sec. 18-840, Docket No WHBR-1150891-23, in the RS-16, single-unit detached residential zoning district."
2025-03-26,Planning Commission Work Session,PCWS25-148,Comprehensive Plan Work Session - Review First Drafts of Chapters on 1) Community Facilities and Infrastructure and 2) Environment and Sustainability
2025-03-26,Planning Commission Work Session,PCWS25-147,"Comprehensive Plan Update Discussion on Transportation Chapter, Continued"
2025-03-20,Board of Architectural Review,BAR25-585,437 Knoll St NW - KinderCare - Exterior Modifications
2025-03-20,Board of Architectural Review,BAR25-584,820 Follin Ln SE - NFCU - Exterior Modifications
2025-03-20,Board of Architectural Review,BAR25-583,416 Maple Ave E - Aroma Express - Sign
2025-03-20,Board of Architectural Review,BAR25-582,314 Maple Ave W - Dunkin - Sign
2025-03-20,Board of Architectural Review,BAR25-581,146 Maple Ave W - Cucos Peruvian - Signs
2025-03-20,Board of Architectural Review,BAR25-580,538 Maple Ave W - Chick-fil-A - Exterior Modifications
2025-03-20,Board of Architectural Review,BAR25-579,112 Pleasant St NW Suite D - Himalayan Massage & Spa - Signs
2025-03-20,Board of Architectural Review,BAR25-578,442 Maple Ave E - Clarity - Signs
2025-03-20,Board of Architectural Review,BAR25-577,305 Maple Ave W - Labelle MD Esthetics - Sign
2025-03-20,Board of Architectural Review,BAR25-576,**WITHDRAWN** 176 Maple Ave W - Electric Bull - Outdoor Dining
2025-03-19,Board of Zoning Appeals,BZA-25133,"**WITHDRAWN**Request to hear an appeal of the Zoning Administrator’s Determination in accordance with the requirements of Section 18-820 Appeals of Zoning Administrator Decision., of the Town of Vienna Zoning and Subdivision Ordinance, affecting property located at 430, 440, 444 Maple Ave W, Vienna, Virginia, tax map numbers: 0383 02 0139, 0383 02 0140, 0383 02 0141, in the AW - Avenue West zoning district. Filed by Sara Mariska, of Odin Feldman Pittleman, on behalf of Vienna Development Associates LLC, property owner. The decision being appealed is the issuance of a Notice of Violation by the Zoning Administrator, case number 24-208, for a violation of Section 18-836 Site Plan Review. The Zoning Administrator determined that the existing condition of the property did not meet the requirements of the site plan approved in June of 2021."
2025-03-19,Board of Zoning Appeals,BZA-25132,"Request for approval of a variance from Sec. 18-217., Residential - Single-Unit, 16,000 sq. ft. Zone (RS-16), 2. Residential Coverage, of the Town of Vienna Zoning and Subdivision Ordinance, to retain lot coverage over the permitted 25% on the property located at 205 Berry Street SE, in RS-16, Single-Family Detached Residential zone."
2025-03-12,Planning Commission Work Session,PCWS25-146,Comprehensive Plan Update Discussion on Transportation Chapter
2025-03-12,Planning Commission,PC25-262,"Request for recommendations to the Town Council to convert six small lots into two equally sized lots, which would be accomplished through the approval of a Boundary Line Adjustment and Lot Consolidations"
2025-03-12,Planning Commission,PC25-261,"Request for recommendation to the Town Council on proposed site plan and modifications of requirements for 800-900 Follin Ln SE, Navy Federal Credit Union, for the installation of emergency generators and construction of related infrastructure."
2025-03-12,Planning Commission,25-4975,Acceptance of Meeting Minutes
2025-02-26,Planning Commission Work Session,PCWS25-143,"Work Session on updated concept plans for amendments to both the Conditional Use Permit and the site plan for Green Hedges School, located at 415 Windover Ave NW"
2025-02-26,Planning Commission Work Session,PCWS25-142,Comprehensive Plan Update Discussion on Community Facilities & Services Chapter and Transportation Chapter
2025-02-26,Planning Commission,PC25-258,"Public hearing and recommendation to Town Council regarding an amendment to the site plan for Meadow Lane Park for new restrooms, on lot 0384 08C, located at 400 Courthouse Rd SW, in the Parks and Recreational (PR) zoning district."
2025-02-26,Planning Commission,25-4945,Acceptance of Meeting Minutes
2025-02-20,Board of Architectural Review,BAR25-575,131 Church St NW - Café de Vienna - Signs
2025-02-20,Board of Architectural Review,BAR25-574,131 Church St NW - Café de Vienna - Exterior Modification - Revision
2025-02-20,Board of Architectural Review,BAR25-573,352 Maple Ave W - Train - Exterior Modifications
2025-02-20,Board of Architectural Review,BAR25-572,352 Maple Ave W - Train - Signs
2025-02-20,Board of Architectural Review,BAR25-571,132 Branch Rd SE - Chef Tan - Exterior Modifications
2025-02-20,Board of Architectural Review,BAR25-570,132 Branch Rd SE - Chef Tan -Sign
2025-02-20,Board of Architectural Review,BAR25-569,1007 Electric Avenue SE - Navy Federal Credit Union - Exterior Modification
2025-02-20,Board of Architectural Review,BAR25-568,900 Follin Ln SE - Navy Federal Credit Union - Exterior Modification
2025-02-20,Board of Architectural Review,BAR25-567,155 Maple Ave W - Panda Dumpling - Sign
2025-02-20,Board of Architectural Review,BAR25-566,442 Maple Ave E - Clarity - Signs
2025-02-20,Board of Architectural Review,BAR25-565,176 Maple Ave W - Electric Bull - Outdoor Dining
2025-02-12,Planning Commission Work Session,PCWS25-140,Comprehensive Plan Update Discussion on Community Facilities & Services Chapter and Transportation Chapter
2025-02-12,Planning Commission Work Session,PCWS25-139,"Work Session on updated concept plans for amendments to both the Conditional Use Permit and the site plan for Green Hedges School, located at 415 Windover Ave NW"
2025-01-22,Planning Commission,PC25-255,Comprehensive Plan Update
2025-01-22,Planning Commission,PC25-254,"Recommendation to the Town Council on a final plat for the lot consolidation of parcels 0391 12 0049A and 0391 12 0050 at 244 Old Courthouse Road NE into a single lot in the Residential - Single-Unit, 16,000 sq. ft. (RS-16) zoning district."
